"Step","dual_agent_nyc_man_south_mode0 - combined/total_reward","dual_agent_nyc_man_south_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_mode0 - combined/total_reward__MAX"
"1810","17665.718085858585","17665.718085858585","17665.718085858585"
"1814","17162.4986982462","17162.4986982462","17162.4986982462"
"1821","17302.64416214341","17302.64416214341","17302.64416214341"
"1822","17173.054063214564","17173.054063214564","17173.054063214564"
"1828","16995.52413886114","16995.52413886114","16995.52413886114"
"1830","17753.43941214341","17753.43941214341","17753.43941214341"
"1832","17332.690650932404","17332.690650932404","17332.690650932404"
"1833","16774.4202488345","16774.4202488345","16774.4202488345"
"1836","16874.514686036186","16874.514686036186","16874.514686036186"
"1843","16005.713181124429","16005.713181124429","16005.713181124429"
"1846","16821.217266095016","16821.217266095016","16821.217266095016"
"1859","17048.77190223665","17048.77190223665","17048.77190223665"
"1861","17413.46457536908","17413.46457536908","17413.46457536908"
"1878","16695.454554639808","16695.454554639808","16695.454554639808"
"1893","17448.727577783335","17448.727577783335","17448.727577783335"
"1897","16635.89349958375","16635.89349958375","16635.89349958375"
"1933","17693.841150321903","17693.841150321903","17693.841150321903"
"1944","17631.9546466589","17631.9546466589","17631.9546466589"
"1951","16986.58882412033","16986.58882412033","16986.58882412033"
"1956","17690.386355616607","17690.386355616607","17690.386355616607"
"1959","17149.803157120652","17149.803157120652","17149.803157120652"
"1985","18144.767815684318","18144.767815684318","18144.767815684318"
"1991","17395.463323565324","17395.463323565324","17395.463323565324"
"2006","17011.043902736157","17011.043902736157","17011.043902736157"
"2014","16989.542152181155","16989.542152181155","16989.542152181155"
"2016","16932.589210900212","16932.589210900212","16932.589210900212"
"2028","17347.755166139417","17347.755166139417","17347.755166139417"
"2034","17124.00895687646","17124.00895687646","17124.00895687646"
"2039","17427.3210022755","17427.3210022755","17427.3210022755"
"2049","17923.372400377404","17923.372400377404","17923.372400377404"
"2067","16801.119234099235","16801.119234099235","16801.119234099235"
"2068","17561.031110417363","17561.031110417363","17561.031110417363"
"2090","16524.439399406154","16524.439399406154","16524.439399406154"
"2098","17171.612136557887","17171.612136557887","17171.612136557887"
"2105","16323.156891580646","16323.156891580646","16323.156891580646"
"2110","17300.037380702634","17300.037380702634","17300.037380702634"
"2131","17452.83229040404","17452.83229040404","17452.83229040404"
"2135","17667.839604811856","17667.839604811856","17667.839604811856"
"2141","16903.960114524372","16903.960114524372","16903.960114524372"
"2143","16577.60037998113","16577.60037998113","16577.60037998113"
"2152","16424.777761544014","16424.777761544014","16424.777761544014"
"2164","16832.542962204465","16832.542962204465","16832.542962204465"
"2171","16788.285520202022","16788.285520202022","16788.285520202022"
"2184","17281.333068403823","17281.333068403823","17281.333068403823"
"2187","17705.588174048175","17705.588174048175","17705.588174048175"
"2189","17234.17160747586","17234.17160747586","17234.17160747586"
"2192","17023.880113275613","17023.880113275613","17023.880113275613"
"2201","16884.969155982908","16884.969155982908","16884.969155982908"
"2203","16912.30972663448","16912.30972663448","16912.30972663448"
"2209","17263.156565545567","17263.156565545567","17263.156565545567"
"2213","17305.78263511489","17305.78263511489","17305.78263511489"
"2247","17011.573395271396","17011.573395271396","17011.573395271396"
"2263","16456.66624686425","16456.66624686425","16456.66624686425"
"2271","17389.16075682651","17389.16075682651","17389.16075682651"
"2272","17575.704715173713","17575.704715173713","17575.704715173713"
"2283","17379.510617382617","17379.510617382617","17379.510617382617"
"2295","16911.36541011766","16911.36541011766","16911.36541011766"
"2302","17456.218984515486","17456.218984515486","17456.218984515486"
"2321","17131.81852894328","17131.81852894328","17131.81852894328"
"2328","17647.159800421803","17647.159800421803","17647.159800421803"
"2334","17322.7067456155","17322.7067456155","17322.7067456155"
"2343","17249.730104978356","17249.730104978356","17249.730104978356"
"2352","17012.60524630925","17012.60524630925","17012.60524630925"
"2356","17044.672024225776","17044.672024225776","17044.672024225776"
"2378","16294.601712759468","16294.601712759468","16294.601712759468"
"2382","17279.313662698412","17279.313662698412","17279.313662698412"
"2400","16979.77638819514","16979.77638819514","16979.77638819514"
